Index,Date,RSI,W%R,SMA,CCI,CMO,ROC
107,2015-08-25,34.0443,-23468.2376,2030.739,6372.8171,-1.4103,-11.0594
108,2015-08-26,91.4602,-23464.773,2016.185,6023.5032,-2.6853,-6.8657
109,2015-08-27,130.1941,-23462.5322,2006.612,5949.6424,-4.7302,-4.3277
110,2015-08-28,110.4736,-23462.4747,1996.345,5793.2404,-3.468,-5.48
111,2015-08-31,111.96,-23289.1913,1983.319,5561.5688,-3.5434,-5.3688
112,2015-09-01,89.7955,-23291.9657,1965.012,5166.3628,-2.6296,-8.2548
113,2015-09-02,113.1645,-23290.3004,1951.937,4971.7889,-3.6064,-6.4573
114,2015-09-03,109.369,-23290.1925,1943.477,4852.5548,-3.4135,-6.7132
115,2015-09-04,93.3247,-23291.6151,1938.51,4581.868,-2.7497,-8.6195
116,2015-09-08,123.7016,-22737.0745,1946.13,4513.3877,-4.2426,-6.0808
117,2015-09-09,120.0871,-21006.6274,1953.573,4388.0775,-4.0055,-6.6152
118,2015-09-10,144.4511,-16616.0983,1954.751,4255.9764,-6.2009,-4.0988
119,2015-09-11,191.6462,-11927.3998,1952.09,4151.0308,-46.8823,-0.4993
120,2015-09-14,272.1071,-11927.803,1948.506,4052.7339,6.5473,3.1597
121,2015-09-15,357.4685,-11926.543,1949.097,4012.1134,3.5402,5.9156
122,2015-09-16,278.1072,-7946.0083,1957.243,3995.7869,6.1212,2.824
123,2015-09-17,203.493,-7946.2644,1961.377,3971.7316,115.5157,0.1278
124,2015-09-18,165.2703,-7947.8767,1962.067,3836.8695,-10.5175,-1.5506
125,2015-09-21,193.5242,-7947.4286,1966.642,3772.4994,-60.7687,-0.2642
126,2015-09-22,245.5642,-7948.643,1963.975,3647.6804,9.7788,1.5095
127,2015-09-23,184.5554,-7211.8429,1963.647,3561.9543,-24.8991,-0.5183
128,2015-09-24,172.4856,-7212.1697,1961.642,3452.7608,-13.5378,-0.9682
129,2015-09-25,218.6888,-7212.2148,1958.671,3398.557,22.4032,0.5267
130,2015-09-28,88.9719,-11159.6942,1951.545,3239.0952,-2.6027,-4.4501
131,2015-09-29,111.1876,-11159.578,1942.145,3128.6657,-3.5039,-2.984
132,2015-09-30,150.5594,-11157.7767,1934.617,3099.0724,-7.0905,-1.6524
133,2015-10-01,142.9424,-11157.5868,1927.979,3050.822,-6.0105,-1.8985
134,2015-10-02,197.273,-11156.2066,1927.312,3024.9561,-145.6787,-0.0855
